pais,marca,modelo,firmware,mac_cm,cm_ip,cliente,virtual,velocidad,capa,seguridad,srvstat,srvrealstat
GT,Thomson,DWG855,ST80.30.06,0024d1b6e53d,10.157.125.18,1514521,1152590,10M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e591,10.135.113.8,1510954,1151932,8M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e5d7,10.139.106.91,358541,1391823,5M,Layer3,WPA,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6e686,10.152.100.242,1511300,1160991,8M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e6f6,10.149.87.119,427364,427364,3M,Layer3,WEP,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e720,10.159.123.2,233656,233656,7M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e75f,10.164.78.219,1514115,1172733,3M,Layer3,WEP,1,1
GT,No Marca,No Modelo,ST80.30.06,0024d1b6e7e4,10.132.107.122,256162,1152529,5M,Layer3,,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e8a1,10.157.100.13,1511714,1151893,5M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e8ee,10.165.120.180,1511396,1160974,8M,Layer3,WPA,1,1
GT,Thomson,DWG855,ST80.30.06,0024d1b6e96c,127.0.0.1,221509,1111038,5M,Layer3,WEP,1,1
GT,Technicolor,TC7110.02,STD3.30.02,0024d1b6ea0d,10.159.109.1,394141,394141,2M,Layer3,,0,0
GT,No Marca,No Modelo,ST80.30.06,0024d1b6ea29,10.139.99.125,225665,1172255,5M,Layer3,,1,1
